alpha,beta,example
0.7881267,0.3171113,0
0.7942118,0.3147527,0
0.81848216,0.30545872,0
0.8184523,0.30528137,0
0.81849176,0.30533567,0
0.81515884,0.30650857,0
0.73949355,0.33794808,0
0.73969215,0.33813295,0
0.7396599,0.3381038,0
0.73932827,0.33781976,0
0.73944235,0.3381656,0
0.6743031,0.37071627,0
0.573711,0.43588015,0
0.6381312,0.39158568,0
0.60867137,0.4108074,0
0.67659926,0.3692885,0
0.65821606,0.379741,0
0.658116,0.37956908,0
0.65813506,0.37977955,0
0.6544408,0.3819338,0
0.56610626,0.44153512,0
0.5563483,0.4493385,0
0.5563483,0.4493385,0
0.5918428,0.4224569,0
0.5915985,0.42234635,0
0.52606446,0.47529507,0
0.52603334,0.4752804,0
0.54597145,0.4578215,0
0.546012,0.4578821,0
0.67668533,0.36924687,0
0.7615202,0.32814488,0
0.83639246,0.29910648,0
0.8364214,0.29884994,0
0.83638066,0.2989556,0
0.83637494,0.2988863,0
0.799274,0.3126333,0
0.82935023,0.30132884,0
0.8767301,0.28499633,0
0.889958,0.28067225,0
0.88996726,0.2806228,0
0.7994125,0.31272885,0
0.7993873,0.3128494,0
0.79927117,0.3126957,0
0.79927117,0.3126957,0
0.8012357,0.31192645,0
0.85482657,0.29242137,0
0.78487146,0.31845415,0
0.6839622,0.3654653,0
0.6343139,0.39407352,0
0.64796007,0.38569695,0
0.8030367,0.31119993,0
0.80308527,0.3112107,0
0.8318173,0.3004499,0
0.8318389,0.3002783,0
0.8317652,0.30036828,0
0.75831693,0.32979703,0
0.8510427,0.29358703,0
0.85101336,0.29375386,0
0.76868665,0.32527795,0
0.7683349,0.32514104,0
0.76831496,0.3250872,0
0.7682748,0.32534868,0
0.76802456,0.3253527,0
0.80328953,0.3110745,0
0.79631877,0.31398302,0
0.7962958,0.31391975,0
0.7963541,0.3140224,0
0.7963208,0.3139074,0
0.7737508,0.32309315,0
0.85488683,0.29253304,0
0.85483503,0.29236457,0
0.741192,0.3370784,0
0.735062,0.34002432,0
0.7167785,0.3487508,0
0.71659577,0.34883937,0
0.5768493,0.4332391,0
0.4206393,0.59388804,0
0.42096254,0.59403974,0
0.42093447,0.5940927,0
0.4209815,0.5941296,0
0.42070538,0.59404737,0
0.3343436,0.7476735,0
0.3344661,0.74783486,0
0.33441973,0.7478467,0
0.33437365,0.74781716,0
0.3341588,0.74784493,0
0.33413377,0.7478529,0
0.32651496,0.7655587,0
0.3266472,0.7655149,0
0.29767683,0.8401136,0
0.2842256,0.87954456,0
0.27315572,0.91516525,0
0.28092155,0.8898499,0
0.28094912,0.889869,0
0.26949602,0.9275548,0
0.26927745,0.9276013,0
0.28450552,0.8791242,0
0.2791317,0.8948471,0
0.2705992,0.9232923,0
0.27150238,0.92029727,0
0.29730335,0.8405706,0
0.2888941,0.8650407,0
0.289191,0.86498684,0
0.28876278,0.8648759,0
0.31625217,0.7902351,0
0.35181206,0.71063155,0
0.3420688,0.7308236,0
0.34185424,0.73072135,0
0.34213173,0.73087806,0
0.34195325,0.7307632,0
0.34202853,0.73075277,0
0.41854677,0.5975976,0
0.41821036,0.5971342,0
0.4189378,0.59717715,0
0.4182112,0.59761506,0
0.4057283,0.6161077,0
0.40569684,0.61609185,0
0.4056052,0.61605585,0
0.40563563,0.6160191,0
0.3795529,0.6587399,0
0.37949038,0.6586931,0
0.37928662,0.6586644,0
0.37947455,0.6588372,0
0.3793211,0.6586426,0
0.37946767,0.6589608,0
0.37903085,0.65914875,0
0.37941495,0.65906423,0
0.3792173,0.6588919,0
0.4057312,0.6158453,0
0.40585065,0.61604416,0
0.4057277,0.6159946,0
0.4059269,0.6160685,0
0.4058497,0.61588395,0
0.40338248,0.61939394,0
0.35593218,0.7027271,0
0.35254553,0.7083347,0
0.35260168,0.70839536,0
0.35292882,0.708473,0
0.36451447,0.6855897,0
0.3572577,0.6995449,0
0.31533274,0.7928843,0
0.3154108,0.792889,0
0.30141568,0.82892376,0
0.3016778,0.8290065,0
0.30196768,0.82823044,0
0.33154628,0.7539274,0
0.40145117,0.62248665,0
0.4409138,0.56699926,0
0.44077915,0.5667278,0
0.4409689,0.5671828,0
0.4407601,0.566861,0
0.5348625,0.46738347,0
0.53461003,0.46730807,0
0.5348857,0.4674588,0
0.64683515,0.38660243,0
0.6467275,0.3863985,0
0.62288314,0.4015462,0
0.66536474,0.37559938,0
0.5727398,0.43632194,0
0.5916252,0.42254105,0
0.67162603,0.37208438,0
0.6717163,0.37221554,0
0.6716299,0.37222692,0
0.671466,0.37219965,0
0.75249094,0.33234432,0
0.6506337,0.38396627,0
0.6352189,0.39335063,0
0.6353217,0.39338887,0
0.6651991,0.37575808,0
0.5675512,0.4404054,0
0.5445286,0.4591455,0
0.47671553,0.52418786,0
0.49062225,0.5095008,0
0.4995498,0.5003929,0
0.48732126,0.512842,0
0.48731494,0.51270795,0
0.4387084,0.5700364,0
0.43830532,0.5700365,0
0.40346217,0.6197178,0
0.40332216,0.6195484,0
0.40347824,0.6196256,0
0.40331307,0.6194856,0
0.40297198,0.61945385,0
0.40305445,0.6195329,0
0.40318033,0.619613,0
0.3943918,0.63394564,0
0.39402172,0.63390344,0
0.3489974,0.7162199,0
0.3488564,0.7162481,0
0.33210358,0.7524726,0
0.35595074,0.70210904,0
0.3607448,0.6928665,0
0.39170903,0.6378701,0
0.39189526,0.63806736,0
0.31704944,0.7882022,0
0.35800603,0.6980804,0
0.36878937,0.6775276,0
0.31880516,0.7836942,0
0.31472605,0.79439414,0
0.31449193,0.79434687,0
0.38285184,0.6525778,0
0.38275105,0.6526176,0
0.38299102,0.6528835,0
0.38289022,0.65286815,0
0.38215834,0.6541609,0
0.38214928,0.6541585,0
0.38233092,0.6542754,0
0.3820747,0.6544172,0
0.3882177,0.64385676,0
0.38805404,0.64378417,0
0.38845003,0.64380527,0
0.38843414,0.6437782,0
0.38860136,0.64356476,0
0.38861847,0.64361316,0
0.38872543,0.6436622,0
0.38840765,0.6434682,0
0.3883791,0.6434422,0
0.3886058,0.6434663,0
0.4034128,0.6194393,0
0.3876223,0.6449244,0
0.39194164,0.6376595,0
0.41014728,0.60927254,0
0.44080734,0.5670806,0
0.4409399,0.56709814,0
0.37690842,0.6636827,0
0.38625538,0.6470314,0
0.38610145,0.64702344,0
0.3686623,0.6783956,0
0.36847526,0.67830753,0
0.36844456,0.67843616,0
0.33526018,0.74604964,0
0.3352261,0.7460086,0
0.33504727,0.74595374,0
0.3288357,0.759893,0
0.3494778,0.7150024,0
0.34955135,0.715028,0
0.31789115,0.78583926,0
0.34367153,0.7268835,0
0.34379742,0.72699374,0
0.32354715,0.772712,0
0.32833448,0.7614446,0
0.3191793,0.7832317,0
0.33787045,0.73983777,0
0.33760732,0.7398216,0
0.33779907,0.7399522,0
0.3056619,0.81768,0
0.29581544,0.84493804,0
0.28166592,0.88706976,0
0.28179595,0.8871205,0
0.30310175,0.8245173,0
0.3033343,0.8245812,0
0.30345774,0.82463735,0
0.30276287,0.8247062,0
0.30303025,0.8248101,0
0.33111137,0.7548701,0
0.3312498,0.75494516,0
0.3312007,0.7549119,0
0.331094,0.75494844,0
0.33113545,0.75496304,0
0.29283264,0.8533506,0
0.29316258,0.8533463,0
0.2929162,0.85345286,0
0.29732203,0.84081554,0
0.29712698,0.84078324,0
0.31051663,0.80494565,0
0.3500481,0.714328,0
0.35007712,0.7143346,0
0.34977174,0.71435076,0
0.4103534,0.609433,0
0.36963546,0.6764864,0
0.36977404,0.67646235,0
0.36951336,0.67643565,0
0.35320866,0.70776314,0
0.36799884,0.67936087,0
0.36804888,0.6793727,0
0.3680891,0.6794199,0
0.38269725,0.6528913,0
0.38289452,0.6530557,0
0.33729583,0.7408976,0
0.3324425,0.7519686,0
0.35305387,0.7080282,0
0.32054508,0.7799464,0
0.32070076,0.77994394,0
0.32032466,0.77976304,0
0.3204476,0.77983534,0
0.3371929,0.7408042,0
0.33738258,0.74098885,0
0.33734167,0.7410468,0
0.32581052,0.7672662,0
0.32022098,0.78075475,0
0.31991354,0.7806514,0
0.33203676,0.75272715,0
0.32420143,0.77084345,0
0.32072532,0.77892023,0
0.3479573,0.7186623,0
0.34773797,0.7186067,0
0.42597133,0.58657986,0
0.40939412,0.61036575,0
0.40958577,0.6104273,0
0.39905757,0.62664574,0
0.39915803,0.6265258,0
0.39888653,0.626365,0
0.3991617,0.6264225,0
0.44708985,0.559134,0
0.4470987,0.55930936,0
0.4470671,0.55930674,0
0.4468581,0.55921537,0
0.36537105,0.6843701,0
0.32357427,0.77214867,0
0.32037318,0.7799717,0
0.38479966,0.649319,0
0.4590062,0.54473674,0
0.46256903,0.54017186,0
0.38904643,0.64220613,0
0.49229962,0.50812805,0
0.49210298,0.50801533,0
0.48044267,0.5203777,0
0.48031098,0.5202603,0
0.48005342,0.5200419,0
0.4800722,0.5200431,0
0.42135528,0.5934923,0
0.42128736,0.5933423,0
0.4212794,0.5933528,0
0.4210602,0.5932562,0
0.53124994,0.4705346,0
0.5342585,0.46781147,0
0.4952838,0.5043848,0
0.4953979,0.5048625,0
0.49523187,0.5047242,0
0.5281059,0.47328988,0
0.38002464,0.6575446,0
0.38021854,0.65754354,0
0.33847567,0.73879284,0
0.33829987,0.7387419,0
0.3430603,0.728501,0
0.38162467,0.65503293,0
0.42472124,0.58848166,0
0.3651305,0.6848177,0
0.3649399,0.6848147,0
0.36484388,0.68458563,0
0.36481446,0.68458647,0
0.36488402,0.6846401,0
0.36521256,0.68462753,0
0.33034155,0.7564341,0
0.31827286,0.7848205,0
0.30583668,0.81681734,0
0.30602652,0.816852,0
0.29442713,0.84907585,0
0.2744248,0.91083086,0
0.27992287,0.8928636,0
0.27594146,0.9055257,0
