alpha,beta,example
0.7092164,0.35281307,0
0.7094014,0.35203576,0
0.67504513,0.36927664,0
0.6658135,0.37496033,0
0.6642333,0.3728007,0
0.6646346,0.37866732,0
0.66464823,0.37790444,0
0.29053673,0.8643734,0
0.28400886,0.872966,0
0.2881356,0.8716366,0
0.28737256,0.87070006,0
0.28408724,0.8767894,0
0.58711296,0.42627788,0
0.58520174,0.42546606,0
0.63026613,0.39813164,0
0.6400783,0.3904552,0
0.5639298,0.4435421,0
0.4921735,0.5065194,0
0.37036896,0.6742607,0
0.4922907,0.50712323,0
0.49404037,0.5089694,0
0.49121362,0.5072435,0
0.48923105,0.5085191,0
0.36562017,0.6807971,0
0.36755127,0.68310636,0
0.38041434,0.65192455,0
0.3822817,0.6531545,0
0.5104956,0.48879197,0
0.51007295,0.48824263,0
0.5114442,0.48896596,0
0.36848035,0.6812878,0
0.37061223,0.6808338,0
0.37100694,0.68162006,0
0.36224872,0.6802085,0
0.36197764,0.68038684,0
0.36197764,0.68038684,0
0.36418122,0.6826015,0
0.36448258,0.68295234,0
0.38464186,0.64775753,0
0.48986873,0.5123454,0
0.72167844,0.34594652,0
0.86373943,0.28892583,0
0.913342,0.27309832,0
0.9133589,0.27229804,0
0.9170404,0.2724932,0
0.9253872,0.26951978,0
0.90791804,0.27464074,0
0.49901322,0.49943665,0
0.50040174,0.5010414,0
0.62148166,0.40022573,0
0.57346797,0.43644875,0
0.36450118,0.6822863,0
0.40420467,0.61592287,0
0.46273968,0.5359969,0
0.46242532,0.5357615,0
0.46386966,0.54253143,0
0.46433854,0.5433272,0
0.45955023,0.5414949,0
0.45928848,0.5411085,0
0.6150036,0.40595105,0
0.61453223,0.40498358,0
0.585545,0.43019482,0
0.69696337,0.35575783,0
0.6840701,0.36517066,0
0.6854174,0.36673912,0
0.6847309,0.36696222,0
0.6674027,0.3764721,0
0.66673565,0.3715133,0
0.6705863,0.37392485,0
0.59772384,0.41858256,0
0.3967551,0.62741834,0
0.40036562,0.626741,0
0.3981187,0.62517977,0
0.4003107,0.6230707,0
0.3088359,0.80711883,0
0.6730011,0.37033102,0
0.67330533,0.37079984,0
0.73723036,0.33708772,0
0.26900417,0.92545086,0
0.61190695,0.40841877,0
0.3539823,0.70562416,0
0.89168125,0.27948177,0
0.9001915,0.27815202,0
0.8838037,0.28150886,0
0.7490112,0.33188844,0
0.7497179,0.3346004,0
0.75012445,0.334285,0
0.7478935,0.33173043,0
0.747687,0.3348132,0
0.7456945,0.33236343,0
0.7479756,0.33583447,0
0.86761117,0.28819796,0
0.7277352,0.3423279,0
0.7281904,0.3430879,0
0.7226156,0.34708205,0
0.92620164,0.27030993,0
0.9261462,0.26905504,0
0.9261847,0.26883978,0
0.9265143,0.27040845,0
0.92608404,0.26836205,0
0.92633194,0.26921186,0
0.62251884,0.40084466,0
0.6628116,0.37643376,0
0.42019978,0.59404004,0
0.41903526,0.5941472,0
0.4459201,0.5583111,0
0.44725356,0.55735624,0
0.895216,0.27854684,0
0.26195943,0.95034224,0
0.26244307,0.948715,0
0.27740952,0.90171325,0
0.2761164,0.90153885,0
0.275977,0.9015872,0
0.27721202,0.8998847,0
0.2715139,0.92094016,0
0.27292612,0.9204279,0
0.27032563,0.92971087,0
0.27039775,0.92977864,0
0.26956984,0.9197795,0
0.2587975,0.95859104,0
0.2617269,0.9582613,0
0.29838675,0.83233297,0
0.76595557,0.32442084,0
0.76705766,0.32816088,0
0.7698471,0.325928,0
0.769841,0.3260378,0
0.76951826,0.326615,0
0.75987816,0.3278681,0
0.7219769,0.34614843,0
0.7341044,0.34110063,0
0.7328173,0.34221685,0
0.80769306,0.3091214,0
0.80772984,0.3087629,0
0.8301132,0.30024946,0
0.770777,0.32579592,0
0.7713424,0.3241489,0
0.27949318,0.8922292,0
0.33420476,0.74776584,0
0.4780156,0.5216516,0
0.38909546,0.6397184,0
0.39659756,0.6286471,0
0.51150143,0.48697895,0
0.34058377,0.7302561,0
0.5686764,0.43692598,0
0.41090244,0.6045782,0
0.45149994,0.55011594,0
0.4532562,0.55307674,0
0.452824,0.55165684,0
0.56039643,0.4458965,0
0.92758137,0.26879275,0
0.92759985,0.26898676,0
0.8676563,0.28836018,0
0.86806494,0.28946382,0
0.8674668,0.286764,0
0.8651335,0.28682673,0
0.86520636,0.28664136,0
0.86566126,0.28658646,0
0.37076864,0.6712021,0
0.7314283,0.34083992,0
0.40455306,0.6153637,0
0.43032485,0.57867265,0
0.4297585,0.57895416,0
0.4314914,0.5818859,0
0.3067431,0.81473106,0
0.73736006,0.3376376,0
0.7377287,0.33944348,0
0.33104482,0.755792,0
0.33521527,0.7464039,0
0.26194486,0.9505609,0
0.2644927,0.9508884,0
0.2643871,0.95111316,0
0.40799186,0.6136577,0
0.40652075,0.6137103,0
0.40218538,0.6196949,0
0.4017405,0.62042,0
0.40283,0.6211748,0
0.4216143,0.5922563,0
0.42055693,0.59182715,0
0.92234147,0.2703514,0
0.9471037,0.26380092,0
0.9668347,0.2575605,0
0.30235705,0.8265905,0
0.39289314,0.6361705,0
0.39132044,0.6353466,0
0.8924316,0.280883,0
0.8918642,0.2798095,0
0.60338974,0.41253707,0
0.6039564,0.4140428,0
0.74768287,0.33361024,0
0.74663055,0.33143437,0
0.51310074,0.4824685,0
0.41534328,0.6045424,0
0.82482606,0.30355206,0
0.74504226,0.3343702,0
0.30429733,0.81831694,0
0.303767,0.8185452,0
0.28036922,0.8881441,0
0.28381094,0.8891744,0
0.27919143,0.88956755,0
0.33802915,0.73802614,0
0.38905764,0.64237195,0
0.48107243,0.51566154,0
0.544499,0.46064904,0
0.4192619,0.59632623,0
0.39808327,0.62734777,0
0.25262603,0.99085814,0
0.25904062,0.9666569,0
0.2652251,0.9311828,0
0.26723424,0.93142694,0
0.26879293,0.9312019,0
0.7603505,0.32890278,0
0.6323035,0.39569014,0
0.532626,0.4698893,0
0.5346114,0.47007748,0
0.53413373,0.46755782,0
0.5336269,0.4672418,0
0.53529805,0.46762568,0
0.7125614,0.35148343,0
0.7006349,0.35444835,0
0.7019437,0.3552409,0
0.32166994,0.7763231,0
0.28922483,0.8555022,0
0.29128662,0.8558302,0
0.29090944,0.86021215,0
0.27287808,0.9162507,0
0.27095902,0.91647947,0
0.27273452,0.9158007,0
0.2757501,0.90347993,0
0.9319932,0.2671835,0
0.9320343,0.26751864,0
0.89827305,0.27807042,0
0.88842964,0.28227386,0
0.8599205,0.28993684,0
0.8678237,0.28669816,0
0.93815815,0.26651013,0
0.46789706,0.5349458,0
0.46737316,0.53320587,0
0.468939,0.53379726,0
0.72795945,0.3406124,0
0.78360736,0.31581727,0
0.78331417,0.31940174,0
0.78230816,0.3193387,0
0.41607997,0.60125995,0
0.40828675,0.6092773,0
0.40795028,0.60966235,0
0.4891862,0.50855166,0
0.42751005,0.5834557,0
0.4284191,0.58408743,0
0.42850477,0.58405226,0
0.30600625,0.8176241,0
0.26881215,0.92502993,0
0.34606376,0.72583497,0
0.33011132,0.75212723,0
0.34371597,0.72872293,0
0.33986044,0.7261645,0
0.33986044,0.7261645,0
0.34354424,0.7262524,0
0.3439636,0.7266837,0
0.5021746,0.49574968,0
0.5066117,0.4937787,0
0.50706667,0.49481893,0
0.506745,0.49276462,0
0.4710639,0.529655,0
0.470014,0.53249764,0
0.36797622,0.6770347,0
0.71870995,0.34726304,0
0.71870995,0.34726304,0
0.6490803,0.38474566,0
0.5889531,0.4240764,0
0.5889531,0.4240764,0
0.5886154,0.42161494,0
0.5910316,0.42458597,0
0.58973205,0.4228687,0
0.5910593,0.4230864,0
0.7285631,0.34200504,0
0.7286627,0.34309947,0
0.72782964,0.34153157,0
0.7942745,0.31322357,0
0.9262474,0.26812667,0
0.9263633,0.27008757,0
0.9261694,0.26997307,0
0.9179579,0.27302146,0
0.918002,0.27319795,0
0.6316268,0.39704165,0
0.7930326,0.31340173,0
0.7927465,0.31244546,0
0.8816288,0.2849494,0
0.7754785,0.32366425,0
0.7737018,0.3211877,0
0.77370715,0.32154897,0
0.6264375,0.39860293,0
0.7380424,0.33788088,0
0.57291496,0.43327314,0
0.8214966,0.301673,0
0.8225644,0.3041162,0
0.8223108,0.30373156,0
0.80322087,0.3088091,0
0.80328584,0.31241474,0
0.8035344,0.31093353,0
0.8375801,0.29739454,0
0.62658983,0.39711794,0
0.56002504,0.44601023,0
0.32796335,0.76066166,0
0.3252309,0.7681605,0
0.32408604,0.7675659,0
0.31166497,0.80078906,0
0.71349794,0.34976876,0
0.7166795,0.34922945,0
0.71660805,0.3493965,0
0.65131575,0.38436136,0
0.6507863,0.38281688,0
0.5624975,0.443775,0
0.36737555,0.6762611,0
0.58254653,0.43026772,0
0.7071736,0.35397312,0
0.70814216,0.35230458,0
0.5791426,0.43151143,0
0.8236209,0.30244935,0
0.2971148,0.84219474,0
0.29544312,0.84207773,0
0.29548642,0.8424403,0
0.36473268,0.68261546,0
0.36504254,0.6839554,0
0.39255515,0.6370324,0
0.39208847,0.6335333,0
0.39203894,0.6333494,0
0.30563635,0.8177747,0
0.30551863,0.8168585,0
0.30434433,0.82057935,0
0.31684434,0.7884571,0
0.31429103,0.7888319,0
0.40586776,0.6172715,0
0.35068733,0.71276164,0
0.34971705,0.7122618,0
0.37359172,0.66771185,0
0.58220744,0.43006924,0
0.5814191,0.42846134,0
0.4584952,0.5424535,0
0.588348,0.42565155,0
0.5903788,0.4267078,0
0.5884663,0.4257562,0
0.5883694,0.42595488,0
0.58737016,0.42444694,0
0.5875458,0.4252833,0
0.3050555,0.81595117,0
0.27010036,0.9240009,0
0.27010036,0.9240009,0
0.26919088,0.9228133,0
0.27067822,0.92268,0
0.27249742,0.92294365,0
0.26493683,0.9364886,0
0.2648883,0.93628895,0
0.5455117,0.45552808,0
0.49693248,0.5017179,0
0.41142496,0.60652095,0
0.49074984,0.5084169,0
0.4885943,0.50792265,0
0.4868557,0.5091966,0
0.4875618,0.5093362,0
0.48937255,0.5110259,0
0.48647007,0.51042217,0
0.48843163,0.51054096,0
0.704398,0.35278746,0
0.6862508,0.36356342,0
0.73468757,0.33921278,0
0.7114458,0.35224512,0
0.7085975,0.35065925,0
0.56853825,0.4377643,0
0.34556082,0.72067624,0
0.34556082,0.72067624,0
0.5626244,0.44436073,0
0.6613975,0.3764648,0
0.6611228,0.37916607,0
0.66266173,0.37365445,0
0.6644064,0.37517354,0
0.75356776,0.32966375,0
0.5145796,0.48480803,0
0.34492132,0.7218742,0
0.34619147,0.7228923,0
0.6201739,0.3984755,0
0.6212812,0.40112004,0
0.34919235,0.71607083,0
0.3484395,0.7157637,0
0.34334078,0.7268379,0
0.4940257,0.50503963,0
0.37263405,0.66765505,0
0.37463862,0.668584,0
0.37473294,0.6688039,0
0.40756702,0.6099738,0
0.6457513,0.3879229,0
0.64486396,0.38651052,0
0.6599231,0.3787572,0
0.6599231,0.3787572,0
0.6474468,0.386122,0
0.5667576,0.44108164,0
0.5654805,0.43807986,0
0.69308144,0.36120272,0
0.6038558,0.41428652,0
0.60024846,0.41379097,0
0.6162432,0.40332887,0
0.5753315,0.43503872,0
0.52879184,0.47120276,0
0.5286545,0.4711458,0
0.9348391,0.2669438,0
0.9348023,0.266356,0
0.60083354,0.41520816,0
0.50304,0.49698824,0
0.5026254,0.4949884,0
0.50137216,0.4944933,0
0.50504094,0.4968655,0
0.43226147,0.5770426,0
0.43110794,0.5762888,0
0.70578665,0.35228738,0
0.54457444,0.45774934,0
0.47033247,0.53111875,0
0.469294,0.5303167,0
0.53235245,0.4713094,0
0.74340165,0.33716437,0
0.31876734,0.77830464,0
0.32007992,0.77778375,0
0.39497712,0.6309671,0
0.4642785,0.5376701,0
0.36157632,0.6890177,0
0.2646126,0.94170177,0
0.2638761,0.9438931,0
0.26743338,0.93114996,0
0.30196774,0.82477623,0
0.3586189,0.69698703,0
0.35369003,0.70148337,0
0.3555736,0.7030891,0
0.3568653,0.7039412,0
0.35568056,0.7024807,0
0.3391477,0.73604804,0
0.38669604,0.6494243,0
0.38301498,0.6453385,0
0.3923017,0.6444566,0
0.38972595,0.64282304,0
0.384547,0.6436038,0
0.38511744,0.6453903,0
0.38707936,0.6477583,0
0.38738218,0.64751375,0
0.38500756,0.6516057,0
0.3846453,0.6514598,0
0.38476312,0.6514339,0
0.38243863,0.65084475,0
0.38354185,0.6518397,0
0.34196863,0.7285039,0
0.46822292,0.5330749,0
0.25838333,0.9604726,0
0.30659905,0.8161626,0
0.30687335,0.8163236,0
0.9241138,0.2699235,0
0.9240133,0.26882452,0
0.92405254,0.26902896,0
0.9297686,0.26787344,0
0.9299388,0.2692494,0
0.87494785,0.28624055,0
0.38875946,0.64080524,0
0.3890086,0.64509267,0
0.49209335,0.5097747,0
0.3340838,0.7463347,0
0.33878332,0.7360537,0
0.3453007,0.72334296,0
0.35039297,0.7127362,0
0.40110978,0.6213386,0
0.6866077,0.3643958,0
0.713334,0.35235518,0
0.7257366,0.34545836,0
0.7256073,0.34398428,0
0.72620606,0.34438744,0
0.49960002,0.4993945,0
0.31978822,0.7806013,0
0.5799188,0.43023854,0
0.94074196,0.26410922,0
0.9556471,0.26122805,0
0.93814504,0.26605454,0
0.9256527,0.2695486,0
0.9256527,0.2695486,0
0.93270373,0.26727155,0
0.94101113,0.26515344,0
0.2515614,0.9924178,0
0.2502019,0.99495465,0
0.2513303,0.99037826,0
0.2536992,0.9777917,0
0.25577685,0.97775203,0
0.25505972,0.97778136,0
0.25403333,0.982771,0
0.25691763,0.9709873,0
0.29170913,0.85559356,0
0.2932674,0.8508579,0
0.29221314,0.8508504,0
0.2948126,0.8503123,0
0.39963883,0.6272309,0
0.54924434,0.45667338,0
0.5485711,0.4546903,0
0.58319116,0.42825326,0
0.58205384,0.4274152,0
0.58181465,0.42647257,0
0.58205694,0.4276609,0
0.45879537,0.54279983,0
0.46020997,0.5456393,0
0.46020997,0.5456393,0
0.7805777,0.32068756,0
0.765767,0.3251394,0
0.76613957,0.327107,0
0.76627576,0.32667834,0
0.76844186,0.3278076,0
0.7731484,0.32443124,0
0.7719533,0.32257313,0
0.26895314,0.9246344,0
0.27046752,0.9246816,0
0.26921532,0.92451835,0
0.2659342,0.93811214,0
0.3332455,0.75207835,0
0.40676156,0.61080724,0
0.47248796,0.5284854,0
0.6778403,0.3665399,0
0.6775666,0.36952448,0
0.5067363,0.49624184,0
0.50603396,0.4964985,0
0.5052228,0.49696934,0
0.553842,0.44727248,0
0.5752528,0.43183637,0
0.58040875,0.43349954,0
0.5800372,0.43275538,0
0.5792605,0.43058687,0
0.5727937,0.43489125,0
0.67316794,0.37126952,0
0.672092,0.37021244,0
0.6743948,0.3722748,0
0.5703553,0.43492234,0
0.57023925,0.43579543,0
0.5667513,0.43879518,0
0.5355558,0.46406856,0
0.9179212,0.27259433,0
0.25103438,0.9978417,0
0.39131066,0.63844043,0
0.39045143,0.6377186,0
0.37107614,0.673601,0
0.4476723,0.5603732,0
0.44625866,0.55974084,0
0.44597188,0.5598113,0
0.6414992,0.38852906,0
0.64064026,0.38849354,0
0.51879954,0.47938567,0
0.51903254,0.4796436,0
0.51919156,0.4811584,0
0.36939815,0.67362875,0
0.3686523,0.6745106,0
0.71267384,0.3510236,0
0.3143196,0.7953509,0
0.40353334,0.61957437,0
0.6336711,0.39180315,0
0.31118628,0.8065592,0
0.31132385,0.8067068,0
0.31074676,0.8066964,0
0.30982593,0.8047181,0
0.6334719,0.3927707,0
0.37734884,0.66328186,0
0.37557608,0.66231817,0
0.38684615,0.64829636,0
0.54392666,0.45811692,0
0.39614433,0.6305092,0
0.59634894,0.41871494,0
0.40435717,0.6206517,0
0.36985925,0.67219675,0
0.3708325,0.67147106,0
0.48902154,0.5089331,0
0.98429984,0.2542199,0
0.9573209,0.261417,0
0.95283026,0.26375207,0
0.9528467,0.26326755,0
0.8455731,0.2955714,0
0.8451567,0.29524508,0
0.7983237,0.3120178,0
0.79821795,0.31183985,0
0.38828743,0.64439243,0
0.39681128,0.62823373,0
0.32558462,0.7675292,0
0.28673956,0.8662214,0
0.28622496,0.86613023,0
0.2884909,0.8667785,0
0.33644748,0.743306,0
0.67800754,0.36797705,0
0.55606,0.4496188,0
0.39208162,0.63288105,0
0.35886282,0.6980499,0
0.33945417,0.73915595,0
0.33724225,0.7379526,0
0.3387587,0.7371064,0
0.66815716,0.37548745,0
0.66793466,0.37519553,0
0.6669233,0.37239414,0
0.6665187,0.37402943,0
0.6738334,0.3701786,0
0.6876356,0.36164504,0
0.7928816,0.31561103,0
0.7927244,0.31380787,0
0.7963826,0.31399816,0
0.6659916,0.37585294,0
0.66407675,0.3695798,0
0.6713911,0.37598446,0
0.67082494,0.3725288,0
0.6697432,0.37015072,0
0.52944535,0.4726263,0
0.3198299,0.77849454,0
0.32170865,0.7789104,0
0.31982043,0.7772354,0
0.31997755,0.7773728,0
0.32072055,0.77857935,0
0.38330877,0.6512825,0
