beta,alpha
0.45856628,0.54413074
0.4295651,0.5810808
0.46845272,0.5329365
0.42320472,0.59228945
0.47769138,0.5253056
0.48872724,0.51183164
0.4545089,0.54974693
0.47794768,0.5245509
0.45259988,0.5486278
0.4869213,0.513471
0.47548372,0.5271469
0.4464711,0.5613048
0.45092043,0.5536315
0.48078662,0.5217159
0.26669452,0.9370651
0.4840649,0.5164698
0.45952857,0.5442715
0.48181593,0.5201046
0.4874471,0.5130951
0.4501133,0.55481833
0.4830373,0.51921445
0.49342173,0.5075958
0.44366753,0.5642281
0.49917963,0.50312
0.4544854,0.54941213
0.47802985,0.52500814
0.4835874,0.5188903
0.45442578,0.54913974
0.464882,0.5385419
0.4927031,0.5086883
0.4853917,0.5167653
0.49546206,0.5053707
0.4458157,0.5603385
0.49924806,0.4999943
0.48225963,0.51917166
0.47652042,0.5244048
0.48115864,0.51877207
0.46591213,0.5347094
0.5009335,0.49955922
0.49108642,0.51011217
0.4351229,0.5738789
0.43908647,0.5683603
0.4452351,0.5627714
0.4715966,0.5299507
0.4550313,0.5492222
0.48104858,0.5187684
0.45292947,0.5522898
0.48336062,0.51588666
0.44614348,0.5615247
0.43522656,0.5732598
0.5139699,0.5361473
0.4914763,0.50916404
0.46775642,0.5353778
0.4898932,0.5112187
0.48830074,0.51006246
0.49117598,0.5087432
0.48418576,0.51628286
0.4585516,0.54598624
0.46692744,0.5350978
0.49479622,0.5046004
0.49249536,0.5068692
0.34877557,0.7145806
0.48143983,0.5198527
0.48167172,0.5202721
0.44543114,0.56068355
0.44537744,0.5610255
0.45633695,0.54796463
0.486391,0.5145595
0.46827307,0.5330617
0.47006172,0.53325695
0.489985,0.51043403
0.48651594,0.5139553
0.46702412,0.53648406
0.4500589,0.5569089
0.46937048,0.531526
0.4715829,0.531137
0.47774366,0.52529234
0.4559962,0.5496649
0.47103155,0.53028023
0.47237855,0.528527
0.4427918,0.56450504
0.4763538,0.5255043
0.45166278,0.5531411
0.47779614,0.5240041
0.45318377,0.5516259
0.48444054,0.5162595
0.44574273,0.56068546
0.44083846,0.567304
0.48903075,0.51369417
0.47686598,0.52470315
0.44334167,0.56196296
0.4590041,0.5459666
0.4501685,0.55571836
0.4836965,0.51654005
0.48087648,0.51858336
0.48771957,0.513346
0.48229328,0.51856756
0.46940136,0.53411627
0.46973056,0.5340175
0.48553348,0.51418734
0.4862294,0.51205736
0.4705365,0.5320594
0.46488506,0.53755486
0.4843098,0.5164871
0.44624114,0.5600707
0.44796404,0.5595922
0.48213986,0.5184564
0.44037205,0.56757647
0.48050055,0.5206928
0.46620595,0.5378788
0.4795252,0.52099234
0.4723557,0.52930003
0.46749493,0.53655344
0.4788208,0.5219786
0.45893043,0.544519
0.4961797,0.50378865
0.45916536,0.54102314
0.4770232,0.52422374
0.4537072,0.55195874
0.47182748,0.5318317
0.47320744,0.5294315
0.48129782,0.51915133
0.4667539,0.53550124
0.450929,0.55489594
0.44377837,0.51926255
0.45112002,0.5544606
0.474237,0.5271148
0.42332333,0.5900204
0.48202688,0.5193199
0.45827872,0.5446481
0.48406217,0.5146997
0.45112273,0.55185384
0.487016,0.5138468
0.47866833,0.52394176
0.4355212,0.5740532
0.45294872,0.55085623
0.4356506,0.57340175
0.4755922,0.52690434
0.48673245,0.5130384
0.45407543,0.54957974
0.49542263,0.5048312
0.44019875,0.5666563
0.45807642,0.54714656
0.498398,0.5011337
0.48525575,0.5143356
0.47864035,0.52187955
0.48067972,0.5216339
0.45465612,0.55305433
0.4572643,0.5463544
0.44659573,0.56103015
0.46865875,0.53289974
0.47553477,0.52586585
0.45285985,0.55125
0.49455723,0.50540906
0.47775188,0.52235955
0.481487,0.5229123
0.44907475,0.55517006
0.46771416,0.53511286
0.47023392,0.5327633
0.4802121,0.52245593
0.47427592,0.5287808
0.4738732,0.5248559
0.4758889,0.5266594
0.48180598,0.51780474
0.48906177,0.5110088
0.5309862,0.472329
0.4644748,0.5380502
0.47647694,0.52643335
0.4816738,0.51980036
0.48555732,0.5154485
0.48424146,0.51711714
0.4944262,0.50543576
0.4831616,0.5174619
0.4779597,0.52265096
0.4820174,0.51928174
0.4913191,0.5101118
0.48649853,0.5136432
0.48360416,0.5148126
0.4792511,0.52182686
0.48261148,0.5174154
0.479196,0.5217683
0.45706764,0.5451345
0.48499846,0.51535994
0.47833622,0.5226369
0.48741743,0.51420337
0.53450674,0.56912744
0.4443415,0.56147105
0.48100278,0.5210112
0.47548282,0.5267795
0.49375546,0.5073508
0.48659998,0.5124882
0.48877442,0.5126402
0.49381647,0.51807636
0.44963124,0.55710584
0.48266017,0.51808256
0.48586732,0.51370317
0.43817493,0.5700184
0.4683796,0.5347826
0.47720727,0.5230768
0.44028318,0.56706494
0.47555047,0.5263646
0.44795576,0.55869126
0.4882973,0.51068306
0.4865416,0.51384175
0.470005,0.5325989
0.4623176,0.5395754
0.4878473,0.5132523
0.4473636,0.5590868
0.48655012,0.51360565
0.47332954,0.52913517
0.48938876,0.51187605
0.47819117,0.52150697
0.4781774,0.52266
0.48045528,0.52058333
0.48017102,0.520532
0.43233126,0.57752323
0.46478862,0.5376685
0.48565423,0.5150359
0.4769841,0.5249342
0.48214555,0.5189018
0.4785007,0.5225604
0.4569478,0.54817325
0.4739562,0.52950835
0.46747935,0.5353535
0.45419958,0.5506019
0.46788082,0.5335347
0.49009064,0.51054734
0.47638252,0.5245643
0.4376526,0.5708845
0.44436446,0.56188357
0.45884418,0.5452219
0.50441885,0.49477142
0.44538593,0.5594987
0.48785633,0.51321363
0.47637424,0.5252099
0.46549514,0.5368219
0.47764522,0.522659
0.46562952,0.5356887
0.4857448,0.5153494
0.4633514,0.53876364
0.49136904,0.50784355
0.48278722,0.51832974
0.4564211,0.5480151
0.49523026,0.5027829
0.4827515,0.5179743
0.483521,0.51723444
0.4865506,0.5131161
0.47243428,0.5311965
0.47344363,0.52836907
0.4905752,0.50953716
0.49199474,0.50777733
0.4751995,0.5246086
0.45299807,0.55268383
0.4801402,0.5222605
0.49112412,0.5084788
0.45444387,0.54870224
0.4679363,0.5318004
