beta,alpha
0.5039197,0.49329594
0.3918066,0.63751256
0.5717511,0.4380814
0.5468522,0.4575361
0.51889133,0.48251298
0.46003544,0.5411858
0.43795183,0.57205206
0.48672885,0.51328534
0.5345176,0.46777838
0.4692811,0.53027886
0.52537835,0.47646502
0.5174789,0.48167792
0.4975146,0.5004401
0.5097864,0.48879984
0.5775021,0.43364134
0.44991136,0.5575812
0.5532147,0.45242417
0.42625117,0.5865801
0.57763314,0.43344352
0.5627637,0.44332176
0.58134127,0.4296862
0.56401855,0.44330508
0.35674167,0.7017544
0.5563481,0.44892454
0.4933922,0.50552
0.5550595,0.44968596
0.51828444,0.48205432
0.38163558,0.65360475
0.5221172,0.47784832
0.713221,0.34978682
0.5464457,0.45532903
0.4258308,0.58316004
0.5489342,0.4559728
0.56767184,0.44014078
0.5262153,0.47463232
0.5401277,0.46234584
0.44941267,0.5557317
0.4835997,0.5151358
0.4837138,0.51579237
0.4423974,0.5658313
0.47392994,0.52767897
0.43953222,0.5670873
0.396983,0.62869376
0.26752862,0.93484527
0.5325601,0.46834165
0.4554603,0.5478588
0.4954131,0.5042786
0.54471093,0.46021366
0.47300026,0.5296199
0.6389338,0.39211705
0.49418092,0.50532395
0.5086136,0.49292615
0.554185,0.4510207
0.4807552,0.5193788
0.39565477,0.63137704
0.5245366,0.47516882
0.49215198,0.50713336
0.4722265,0.52761495
0.50654304,0.49349555
0.47309953,0.52915376
0.5873285,0.42599562
0.524894,0.47660157
0.34710655,0.72104955
0.3785616,0.6578881
0.45432517,0.5487626
0.46035644,0.54281884
0.57976997,0.43170315
0.26816192,0.93653685
0.4493952,0.5539454
0.38823822,0.6428796
0.57028097,0.4381967
0.4685688,0.5337239
0.48281807,0.51678944
0.53153366,0.4691045
0.47532132,0.52434343
0.39436582,0.6338679
0.47948503,0.5208904
0.35002556,0.7132213
0.4791084,0.5212716
0.506081,0.4933954
0.52369416,0.47656468
0.58581376,0.42596668
0.5406691,0.46214837
0.4865969,0.5146404
0.44346097,0.5616103
0.43129194,0.5791394
0.55021465,0.4542867
0.58487815,0.42687848
0.5304201,0.47117457
0.47572196,0.52571714
0.5219298,0.47859144
0.57814145,0.43195084
0.3509468,0.7146951
0.5727018,0.43779054
0.5046687,0.49599454
0.547271,0.4572748
0.5069861,0.49304786
0.5000812,0.49987388
0.50659865,0.49234107
0.5217464,0.47856113
0.5311841,0.47053823
0.47236413,0.52677405
0.55261785,0.45223117
0.552529,0.45183113
0.43204784,0.5791224
0.53336465,0.4681169
0.43762925,0.570964
0.5412325,0.46056128
0.5299282,0.47374982
0.45527792,0.5478959
0.535159,0.46675527
0.46907777,0.532869
0.4461331,0.5597499
0.49497163,0.50418043
0.5610509,0.44606623
0.44058737,0.5672126
0.48796722,0.511145
0.53407776,0.46705005
0.5831115,0.42942816
0.6231121,0.40197867
0.47420767,0.52724725
0.54390377,0.4591741
0.5475461,0.4534698
0.43121094,0.57923126
0.61074847,0.41129264
0.45847228,0.5450222
0.5260552,0.4752612
0.45265004,0.5517926
0.49987072,0.49967602
0.5153298,0.48629728
0.26756343,0.9371561
0.4133818,0.60762674
0.4521172,0.55218613
0.50520474,0.49437097
0.528423,0.4730478
0.59837973,0.4178883
0.55575573,0.44881576
0.5422637,0.46074823
0.3548679,0.70482486
0.53643644,0.46572974
0.48908424,0.51172096
0.509176,0.49029317
0.5623963,0.44382855
0.37150496,0.67368436
0.43320262,0.57734376
0.51935387,0.48065057
0.4571883,0.54452336
0.5142289,0.4871979
0.54615045,0.45687377
0.56761926,0.43984807
0.4715202,0.527278
0.6416226,0.38814566
0.3958995,0.6294852
0.5396502,0.46323523
0.55323637,0.4518776
0.44584635,0.56012434
0.5583437,0.4451509
0.55926436,0.44682696
0.5083219,0.4895426
0.50302213,0.4965732
0.7079627,0.3530542
0.53058326,0.47092587
0.47691607,0.5237381
0.5589613,0.44713837
0.5346871,0.46863896
0.39508772,0.6307841
0.591353,0.42285007
0.5496306,0.45437202
0.5770285,0.43252775
0.46407077,0.53772515
0.48033464,0.52054465
0.57602835,0.43332946
0.5272092,0.47348517
0.4169445,0.5992596
0.40572175,0.6152541
0.5085243,0.49126256
0.54851305,0.45625034
0.31806633,0.7870719
0.5536305,0.45055592
0.59738725,0.4177625
0.40024143,0.6244294
0.62047774,0.4038669
0.48726472,0.513509
0.5214712,0.4765272
0.40802246,0.611504
0.47550058,0.5265218
0.6356716,0.39358872
0.5201625,0.47963727
0.5813435,0.43105766
0.48019376,0.52081764
0.47862375,0.5220053
0.3783612,0.6596864
0.456393,0.5466331
0.48185188,0.5180752
0.57063997,0.43848354
0.42993015,0.57953966
0.5712194,0.43647796
0.5562004,0.44865713
0.5934653,0.42213136
0.5349934,0.46776232
0.541759,0.45940852
0.5254438,0.47655606
0.44177917,0.5641895
0.42233625,0.59447783
0.5994828,0.41795567
0.5067028,0.49203885
0.518383,0.48272458
0.54910105,0.45446593
0.5413804,0.462352
0.47374445,0.52659917
0.4450999,0.56200224
0.51642907,0.48388532
0.5674769,0.44115412
0.5526127,0.44998452
0.50564146,0.49320233
0.48672935,0.51164573
0.42048663,0.5937805
0.44147876,0.5655556
0.51170397,0.4873057
0.49829334,0.5020686
0.551303,0.45147863
0.4000169,0.62385684
0.5078002,0.49231687
0.46899536,0.53205734
0.50207293,0.49792412
0.52948785,0.472622
0.50365645,0.49647024
0.48727757,0.51228476
0.5480111,0.45475772
0.46542597,0.53544426
0.49550208,0.5031681
0.47702286,0.52389413
0.3617344,0.6926938
0.48823512,0.5119819
0.47257957,0.5276642
0.5297211,0.4716342
0.42955896,0.5786996
0.4846157,0.5151115
0.4067971,0.6143218
0.5123524,0.48957554
0.46146062,0.5414598
0.48516318,0.5152209
0.501405,0.4974436
0.4483417,0.55534005
0.56457394,0.4420736
0.44380018,0.563575
0.443452,0.56432414
0.550839,0.45319745
0.44218937,0.56421477
0.599993,0.41624242
0.53888476,0.46333027
0.55868936,0.44583923
0.5123673,0.48577556
0.48801237,0.51232684
0.5719361,0.4377445
0.5474418,0.4553574
0.5462935,0.45738497
0.39653492,0.6342509
0.5563536,0.44966927
0.443191,0.56327677
0.45356303,0.5496965
0.5141213,0.48620057
0.46833807,0.5340518
0.54731816,0.45670632
0.44854975,0.5562444
0.49035496,0.509037
0.46400297,0.5387171
0.33827606,0.73776853
0.42028072,0.59596723
0.444461,0.56366616
0.54086035,0.4618569
0.5258145,0.47433725
0.5588818,0.44693443
0.3119496,0.7997677
0.54103243,0.4621554
0.49138057,0.50814784
